V_pop1,V_pop2,V_pop3,V_pop4,F_pop1,F_pop2,F_pop3,F_pop4,N_pop1,N_pop2,N_pop3,N_pop4
982220.98,1153042.02,5114878,21983399,982220.98,1153042.02,5114878,21983399,982220.98,1153042.02,5114878,21983399
982998.38,1153954.62,5559073,22269108,982998.38,1153954.62,5559073,22269108,982998.38,1153954.62,5559073,22269108
980316.12,1150805.88,5569599,22551687,980316.12,1150805.88,5569599,22551687,980316.12,1150805.88,5569599,22551687
975340.3,1144964.7,5580304,22820875,975340.3,1144964.7,5580304,22820875,975340.3,1144964.7,5580304,22820875
971014.46,1139886.54,5589490,23096981,971014.46,1139886.54,5589490,23096981,971014.46,1139886.54,5589490,23096981
968123.36,1136492.64,5597785,23706554,968123.36,1136492.64,5597785,23706554,968123.36,1136492.64,5597785,23706554
964777.32,1132564.68,5604720,23952680,964777.32,1132564.68,5604720,23952680,964777.32,1132564.68,5604720,23952680
962673.28,1130094.72,5614354,26009514,962673.28,1130094.72,5614354,26009514,962673.28,1130094.72,5614354,26009514
960935.4,1128054.6,5616201,26254610,960935.4,1128054.6,5616201,26254610,960935.4,1128054.6,5616201,26254610
958198.4,1124841.6,5612473,26499965,958198.4,1124841.6,5612473,26499965,958198.4,1124841.6,5612473,26499965
