agegp,yearc,st,N_cases
Age <2,1998,1,3
Age <2,1998,10A,3
Age <2,1998,12F,10
Age <2,1998,14,246
Age <2,1998,15B,6
Age <2,1998,15C,5
Age <2,1998,16,1
Age <2,1998,16F,1
Age <2,1998,18B,1
Age <2,1998,18C,60
Age <2,1998,19A,27
Age <2,1998,19F,75
Age <2,1998,22F,3
Age <2,1998,23A,1
Age <2,1998,23F,54
Age <2,1998,24F,2
Age <2,1998,3,3
Age <2,1998,33F,6
Age <2,1998,35B,2
Age <2,1998,35F,1
Age <2,1998,38,5
Age <2,1998,4,57
Age <2,1998,6A,35
Age <2,1998,6B,78
Age <2,1998,7F,4
Age <2,1998,9A,9
Age <2,1998,9L,1
Age <2,1998,9N,1
Age <2,1998,9V,38
Age <2,1998,MISS,140
Age <2,1998,NT,4
Age 2-4,1998,1,4
Age 2-4,1998,11A,2
Age 2-4,1998,12F,3
Age 2-4,1998,14,66
Age 2-4,1998,15B,1
Age 2-4,1998,18B,1
Age 2-4,1998,18C,27
Age 2-4,1998,19A,3
Age 2-4,1998,19F,22
Age 2-4,1998,22F,1
Age 2-4,1998,23B,1
Age 2-4,1998,23F,20
Age 2-4,1998,33F,1
Age 2-4,1998,35B,1
Age 2-4,1998,38,2
Age 2-4,1998,4,9
Age 2-4,1998,5,1
Age 2-4,1998,6A,9
Age 2-4,1998,6B,22
Age 2-4,1998,6C,1
Age 2-4,1998,7F,1
Age 2-4,1998,9A,2
Age 2-4,1998,9N,3
Age 2-4,1998,9V,17
Age 2-4,1998,MISS,41
Age 5-17,1998,1,19
Age 5-17,1998,10A,1
Age 5-17,1998,11A,1
Age 5-17,1998,12F,2
Age 5-17,1998,14,12
Age 5-17,1998,15B,4
Age 5-17,1998,18B,1
Age 5-17,1998,18C,8
Age 5-17,1998,18F,1
Age 5-17,1998,19A,3
Age 5-17,1998,19F,5
Age 5-17,1998,22F,1
Age 5-17,1998,23F,9
Age 5-17,1998,3,5
Age 5-17,1998,31,1
Age 5-17,1998,33A,1
Age 5-17,1998,4,7
Age 5-17,1998,5,1
Age 5-17,1998,6A,2
Age 5-17,1998,6B,5
Age 5-17,1998,7F,7
Age 5-17,1998,8,1
Age 5-17,1998,9N,1
Age 5-17,1998,9V,11
Age 5-17,1998,MISS,14
Age 18-49,1998,1,30
Age 18-49,1998,10A,8
Age 18-49,1998,11A,19
Age 18-49,1998,11B,1
Age 18-49,1998,11C,1
Age 18-49,1998,12F,66
Age 18-49,1998,13,5
Age 18-49,1998,14,104
Age 18-49,1998,15A,3
Age 18-49,1998,15B,6
Age 18-49,1998,15C,5
Age 18-49,1998,15F,1
Age 18-49,1998,16,16
Age 18-49,1998,16F,2
Age 18-49,1998,17A,1
Age 18-49,1998,17F,4
Age 18-49,1998,18A,1
Age 18-49,1998,18B,1
Age 18-49,1998,18C,42
Age 18-49,1998,19A,33
Age 18-49,1998,19F,38
Age 18-49,1998,20,8
Age 18-49,1998,21,1
Age 18-49,1998,22F,24
Age 18-49,1998,23A,2
Age 18-49,1998,23F,53
Age 18-49,1998,28,1
Age 18-49,1998,28F,2
Age 18-49,1998,29,1
Age 18-49,1998,3,31
Age 18-49,1998,30,1
Age 18-49,1998,31,7
Age 18-49,1998,33F,8
Age 18-49,1998,34,3
Age 18-49,1998,35B,4
Age 18-49,1998,35F,5
Age 18-49,1998,38,10
Age 18-49,1998,4,148
Age 18-49,1998,5,1
Age 18-49,1998,6A,41
Age 18-49,1998,6B,56
Age 18-49,1998,7F,42
Age 18-49,1998,8,19
Age 18-49,1998,9A,9
Age 18-49,1998,9N,29
Age 18-49,1998,9V,111
Age 18-49,1998,MISS,130
Age 18-49,1998,NT,1
Age 50-64,1998,1,13
Age 50-64,1998,10A,4
Age 50-64,1998,11A,10
Age 50-64,1998,12F,21
Age 50-64,1998,13,1
Age 50-64,1998,14,49
Age 50-64,1998,15A,1
Age 50-64,1998,15B,1
Age 50-64,1998,15C,1
Age 50-64,1998,15F,1
Age 50-64,1998,16,4
Age 50-64,1998,16F,2
Age 50-64,1998,17F,2
Age 50-64,1998,18C,16
Age 50-64,1998,19A,17
Age 50-64,1998,19F,17
Age 50-64,1998,20,1
Age 50-64,1998,22F,33
Age 50-64,1998,23A,5
Age 50-64,1998,23B,1
Age 50-64,1998,23F,45
Age 50-64,1998,3,28
Age 50-64,1998,31,5
Age 50-64,1998,33,1
Age 50-64,1998,33F,5
Age 50-64,1998,34,2
Age 50-64,1998,35B,3
Age 50-64,1998,35F,4
Age 50-64,1998,37,1
Age 50-64,1998,38,7
Age 50-64,1998,4,64
Age 50-64,1998,6A,18
Age 50-64,1998,6B,38
Age 50-64,1998,7F,23
Age 50-64,1998,8,8
Age 50-64,1998,9A,5
Age 50-64,1998,9N,14
Age 50-64,1998,9V,39
Age 50-64,1998,MISS,72
Age 50-64,1998,NT,2
Age 65+,1998,1,18
Age 65+,1998,10A,11
Age 65+,1998,11A,27
Age 65+,1998,11C,1
Age 65+,1998,12F,37
Age 65+,1998,13,4
Age 65+,1998,14,156
Age 65+,1998,15A,3
Age 65+,1998,15B,11
Age 65+,1998,15C,1
Age 65+,1998,15F,1
Age 65+,1998,16,14
Age 65+,1998,16F,1
Age 65+,1998,17,1
Age 65+,1998,17F,1
Age 65+,1998,18A,1
Age 65+,1998,18C,24
Age 65+,1998,18F,2
Age 65+,1998,19A,36
Age 65+,1998,19F,41
Age 65+,1998,20,6
Age 65+,1998,22A,1
Age 65+,1998,22F,55
Age 65+,1998,23A,5
Age 65+,1998,23F,87
Age 65+,1998,24F,2
Age 65+,1998,29,1
Age 65+,1998,3,54
Age 65+,1998,31,8
Age 65+,1998,33,2
Age 65+,1998,33F,12
Age 65+,1998,34,3
Age 65+,1998,35B,11
Age 65+,1998,35F,7
Age 65+,1998,38,8
Age 65+,1998,4,94
Age 65+,1998,5,1
Age 65+,1998,6A,50
Age 65+,1998,6B,80
Age 65+,1998,7A,1
Age 65+,1998,7F,23
Age 65+,1998,8,9
Age 65+,1998,9A,9
Age 65+,1998,9L,1
Age 65+,1998,9N,10
Age 65+,1998,9V,99
Age 65+,1998,MISS,163
Age 65+,1998,NT,5
Age <2,1999,1,4
Age <2,1999,10A,1
Age <2,1999,11A,1
Age <2,1999,12F,7
Age <2,1999,14,275
Age <2,1999,15B,1
Age <2,1999,15C,2
Age <2,1999,16F,2
Age <2,1999,18B,3
Age <2,1999,18C,64
Age <2,1999,18F,1
Age <2,1999,19A,14
Age <2,1999,19F,89
Age <2,1999,22F,7
Age <2,1999,23A,1
Age <2,1999,23B,2
Age <2,1999,23F,52
Age <2,1999,24B,1
Age <2,1999,3,4
Age <2,1999,33F,5
Age <2,1999,35B,1
Age <2,1999,38,4
Age <2,1999,4,58
Age <2,1999,6A,35
Age <2,1999,6B,93
Age <2,1999,7F,6
Age <2,1999,9A,11
Age <2,1999,9L,1
Age <2,1999,9N,2
Age <2,1999,9V,50
Age <2,1999,MISS,145
Age <2,1999,NT,3
Age 2-4,1999,1,2
Age 2-4,1999,12F,6
Age 2-4,1999,14,58
Age 2-4,1999,15B,2
Age 2-4,1999,15C,1
Age 2-4,1999,18C,25
Age 2-4,1999,19A,6
Age 2-4,1999,19F,27
Age 2-4,1999,23A,1
Age 2-4,1999,23F,13
Age 2-4,1999,3,2
Age 2-4,1999,33F,3
Age 2-4,1999,35B,1
Age 2-4,1999,38,1
