"var","a","k","2.5%","50%","97.5%","age","serotype"
"ccr_1999",1,1,0.00095378161125,0.00097665012,0.00099553421075,"<1y","V"
"ccr_1999",2,1,4.0154790775e-05,4.23808175e-05,4.336769e-05,"1-4y","V"
"ccr_1999",3,1,3.8178700925e-06,3.89616995e-06,3.971110185e-06,"5-17y","V"
"ccr_1999",4,1,5.6843849e-05,5.8243924e-05,5.9446609575e-05,"18+y","V"
"ccr_1999",1,2,0.00047221158375,0.000489416085,0.00050082576525,"<1y","F"
"ccr_1999",2,2,2.15764854e-05,2.30779745e-05,2.370116175e-05,"1-4y","F"
"ccr_1999",3,2,1.4000003475e-06,1.44249795e-06,1.4743192175e-06,"5-17y","F"
"ccr_1999",4,2,1.49952043e-05,1.55207395e-05,1.5881667475e-05,"18+y","F"
"ccr_1999",1,3,0.0002318588115,0.00023781044,0.000242825701,"<1y","N"
"ccr_1999",2,3,1.10312645e-05,1.16711525e-05,1.195343465e-05,"1-4y","N"
"ccr_1999",3,3,4.9312098575e-06,5.0370773e-06,5.1395169925e-06,"5-17y","N"
"ccr_1999",4,3,6.456156615e-05,6.6149893e-05,6.7599641975e-05,"18+y","N"
