"age","serotype","obs","2.5%","50%","97.5%"
"<1y","V",141,0.00782674420392713,0.00665814204121352,0.0057242637671931
"1-4y","V",96,0.000470981161717571,0.000389210169721176,0.000322676948942428
"5-17y","V",65,4.74360088286513e-05,3.9756647724357e-05,3.3770445203897e-05
"18+y","V",1340,0.00063016982180822,0.000531898678223846,0.000454044521610026
"<1y","F",1,7.95943082882208e-05,6.10016991413279e-05,4.77014560298228e-05
"1-4y","F",1,7.94371141695923e-06,6.12764415887989e-06,4.81681210193887e-06
"5-17y","F",0,0,0,0
"18+y","F",26,2.14070492869892e-05,1.69705682046483e-05,1.37951890283721e-05
"<1y","N",89,8.1626098828015e-05,8.10183736471809e-05,7.9538142027833e-05
"1-4y","N",54,8.34358739622879e-06,8.24451125670833e-06,7.81642766726201e-06
"5-17y","N",40,1.60438898576212e-06,1.58914941492683e-06,1.56855360132393e-06
"18+y","N",1599,3.91138981928414e-05,3.8638161159891e-05,3.79281804037463e-05
