"year","age","serotype","lo","med","hi","source"
2010,"<1y","V",9,17,25.525,"R projection"
2010,"<1y","F",2,7,13,"R projection"
2010,"<1y","N",235,267,302.525,"R projection"
2010,"1-4y","V",3,8,15,"R projection"
2010,"1-4y","F",0,3,8,"R projection"
2010,"1-4y","N",60.475,79,98,"R projection"
2010,"5-17y","V",1,5,10,"R projection"
2010,"5-17y","F",0,1,4,"R projection"
2010,"5-17y","N",107.475,130,152,"R projection"
2010,"18+y","V",88,116,149.05,"R projection"
2010,"18+y","F",11,21,32.525,"R projection"
2010,"18+y","N",2694.95,2815.5,2932.05,"R projection"
2011,"<1y","V",6,13,22,"R projection"
2011,"<1y","F",2,6,13,"R projection"
2011,"<1y","N",241,273,307,"R projection"
2011,"1-4y","V",2,7,13,"R projection"
2011,"1-4y","F",0,3,7,"R projection"
2011,"1-4y","N",62.475,80,98,"R projection"
2011,"5-17y","V",1,4,9,"R projection"
2011,"5-17y","F",0,1,4,"R projection"
2011,"5-17y","N",114,134,155.525,"R projection"
2011,"18+y","V",64.475,94,129.525,"R projection"
2011,"18+y","F",10,20,31,"R projection"
2011,"18+y","N",2765.95,2883,3002.05,"R projection"
2012,"<1y","V",4,11,19,"R projection"
2012,"<1y","F",2,6,12,"R projection"
2012,"<1y","N",244.475,277,313,"R projection"
2012,"1-4y","V",1,5,12,"R projection"
2012,"1-4y","F",0,3,7,"R projection"
2012,"1-4y","N",65.475,82,100,"R projection"
2012,"5-17y","V",0,3,8,"R projection"
2012,"5-17y","F",0,1,4,"R projection"
2012,"5-17y","N",113.475,137,162,"R projection"
2012,"18+y","V",49.475,76,111,"R projection"
2012,"18+y","F",9,19,30.525,"R projection"
2012,"18+y","N",2816.85,2943,3057.525,"R projection"
2013,"<1y","V",3,9,16.525,"R projection"
2013,"<1y","F",1,6,11,"R projection"
2013,"<1y","N",248,282,314,"R projection"
2013,"1-4y","V",1,4,9.52499999999998,"R projection"
2013,"1-4y","F",0,3,7,"R projection"
2013,"1-4y","N",68,84,102,"R projection"
2013,"5-17y","V",0,3,7,"R projection"
2013,"5-17y","F",0,1,3.52499999999998,"R projection"
2013,"5-17y","N",118,141,165.525,"R projection"
2013,"18+y","V",36,63,94,"R projection"
2013,"18+y","F",8,17,30,"R projection"
2013,"18+y","N",2893,3000.5,3135,"R projection"
2014,"<1y","V",2,7,14,"R projection"
2014,"<1y","F",1,6,12.525,"R projection"
2014,"<1y","N",257,286,318,"R projection"
2014,"1-4y","V",0,3,9,"R projection"
2014,"1-4y","F",0,2,7,"R projection"
2014,"1-4y","N",67,85,105,"R projection"
2014,"5-17y","V",0,2,6,"R projection"
2014,"5-17y","F",0,1,4,"R projection"
2014,"5-17y","N",120,144,168.525,"R projection"
2014,"18+y","V",28,51,85,"R projection"
2014,"18+y","F",7,16,28.525,"R projection"
2014,"18+y","N",2941.425,3064.5,3183.2,"R projection"
2015,"<1y","V",1,6,12.525,"R projection"
2015,"<1y","F",1,5,11,"R projection"
2015,"<1y","N",258.475,294,325.525,"R projection"
2015,"1-4y","V",0,3,8,"R projection"
2015,"1-4y","F",0,2,7,"R projection"
2015,"1-4y","N",69,86,106,"R projection"
2015,"5-17y","V",0,2,5,"R projection"
2015,"5-17y","F",0,1,3.52499999999998,"R projection"
2015,"5-17y","N",125,146,173.525,"R projection"
2015,"18+y","V",21,43,74.525,"R projection"
2015,"18+y","F",7,16,28.525,"R projection"
2015,"18+y","N",2997.425,3116,3240.525,"R projection"
2016,"<1y","V",1,5,12,"R projection"
2016,"<1y","F",1,5,11.525,"R projection"
2016,"<1y","N",261.475,296,336.05,"R projection"
2016,"1-4y","V",0,2,7,"R projection"
2016,"1-4y","F",0,2,6,"R projection"
2016,"1-4y","N",69,88,106.05,"R projection"
2016,"5-17y","V",0,1,5,"R projection"
2016,"5-17y","F",0,1,3,"R projection"
2016,"5-17y","N",123,148,173,"R projection"
2016,"18+y","V",16,36,67,"R projection"
2016,"18+y","F",6,16,28.525,"R projection"
2016,"18+y","N",3052.9,3174,3309.05,"R projection"
2017,"<1y","V",1,4,11,"R projection"
2017,"<1y","F",1,5,11,"R projection"
2017,"<1y","N",269.475,301,334.525,"R projection"
2017,"1-4y","V",0,2,6.52499999999998,"R projection"
2017,"1-4y","F",0,2,7,"R projection"
2017,"1-4y","N",71,90,112,"R projection"
2017,"5-17y","V",0,1,4,"R projection"
2017,"5-17y","F",0,1,4,"R projection"
2017,"5-17y","N",125.95,152,177.525,"R projection"
2017,"18+y","V",13,30,60,"R projection"
2017,"18+y","F",6,15,31,"R projection"
2017,"18+y","N",3105.425,3236.5,3368.05,"R projection"
2018,"<1y","V",0,3,9.52499999999998,"R projection"
2018,"<1y","F",1,5,12,"R projection"
2018,"<1y","N",271,305,345,"R projection"
2018,"1-4y","V",0,2,6,"R projection"
2018,"1-4y","F",0,2,7,"R projection"
2018,"1-4y","N",73,92,108.525,"R projection"
2018,"5-17y","V",0,1,4.52499999999998,"R projection"
2018,"5-17y","F",0,1,3,"R projection"
2018,"5-17y","N",131,155,178,"R projection"
2018,"18+y","V",9,26,56.525,"R projection"
2018,"18+y","F",5,15,29,"R projection"
2018,"18+y","N",3166.475,3298,3419.525,"R projection"
2019,"<1y","V",0,3,9,"R projection"
2019,"<1y","F",1,5,11,"R projection"
2019,"<1y","N",278,310,346.525,"R projection"
2019,"1-4y","V",0,1,5,"R projection"
2019,"1-4y","F",0,2,7,"R projection"
2019,"1-4y","N",74,92,112,"R projection"
2019,"5-17y","V",0,1,4,"R projection"
2019,"5-17y","F",0,1,3,"R projection"
2019,"5-17y","N",131.475,156,183.05,"R projection"
2019,"18+y","V",7,22,49.525,"R projection"
2019,"18+y","F",5,15,29.525,"R projection"
2019,"18+y","N",3215.375,3350.5,3478.1,"R projection"
