yearc,stg,m,l,u,na.rm,agegp,cat,timex
1999,F,145.654,134.728,155.487,TRUE,<1y,Fitted,prepcv13
1999,F,35.732,32.777,38.45,TRUE,1-4y,Fitted,prepcv13
1999,F,1.02,0.927,1.107,TRUE,5-17y,Fitted,prepcv13
1999,F,7.139,6.486,7.751,TRUE,18+y,Fitted,prepcv13
1999,N,162.353,147.41,174.148,TRUE,<1y,Fitted,prepcv13
1999,N,41.972,37.721,45.39,TRUE,1-4y,Fitted,prepcv13
1999,N,14.338,12.738,15.653,TRUE,5-17y,Fitted,prepcv13
1999,N,78.861,69.99,86.162,TRUE,18+y,Fitted,prepcv13
1999,V,1067.165,977.044,1157.633,TRUE,<1y,Fitted,prepcv13
1999,V,248.546,225.454,272.184,TRUE,1-4y,Fitted,prepcv13
1999,V,18.399,16.517,20.377,TRUE,5-17y,Fitted,prepcv13
1999,V,111.417,99.917,123.502,TRUE,18+y,Fitted,prepcv13
2000,F,145.654,134.728,155.487,TRUE,<1y,Fitted,prepcv13
2000,F,35.732,32.777,38.45,TRUE,1-4y,Fitted,prepcv13
2000,F,1.02,0.927,1.107,TRUE,5-17y,Fitted,prepcv13
2000,F,7.139,6.486,7.751,TRUE,18+y,Fitted,prepcv13
2000,N,162.353,147.41,174.148,TRUE,<1y,Fitted,prepcv13
2000,N,41.972,37.721,45.39,TRUE,1-4y,Fitted,prepcv13
2000,N,14.338,12.738,15.653,TRUE,5-17y,Fitted,prepcv13
2000,N,78.861,69.99,86.162,TRUE,18+y,Fitted,prepcv13
2000,V,1067.165,977.044,1157.633,TRUE,<1y,Fitted,prepcv13
2000,V,248.546,225.454,272.184,TRUE,1-4y,Fitted,prepcv13
2000,V,18.399,16.517,20.377,TRUE,5-17y,Fitted,prepcv13
2000,V,111.417,99.917,123.502,TRUE,18+y,Fitted,prepcv13
2001,F,57.065,52.478,61.849,TRUE,<1y,Fitted,prepcv13
2001,F,30.207,27.764,33.012,TRUE,1-4y,Fitted,prepcv13
2001,F,0.927,0.844,1.02,TRUE,5-17y,Fitted,prepcv13
2001,F,6.429,5.847,7.094,TRUE,18+y,Fitted,prepcv13
2001,N,299.196,275.171,313.136,TRUE,<1y,Fitted,prepcv13
2001,N,61.236,55.615,65.401,TRUE,1-4y,Fitted,prepcv13
2001,N,15.988,14.303,17.234,TRUE,5-17y,Fitted,prepcv13
2001,N,87.687,78.4,94.538,TRUE,18+y,Fitted,prepcv13
2001,V,413.252,377.943,454.225,TRUE,<1y,Fitted,prepcv13
2001,V,207.844,189.782,229.761,TRUE,1-4y,Fitted,prepcv13
2001,V,16.487,14.966,18.438,TRUE,5-17y,Fitted,prepcv13
2001,V,98.875,89.712,110.707,TRUE,18+y,Fitted,prepcv13
2002,F,30.19,26.306,34.366,TRUE,<1y,Fitted,prepcv13
2002,F,22.482,20.309,25.453,TRUE,1-4y,Fitted,prepcv13
2002,F,0.784,0.703,0.898,TRUE,5-17y,Fitted,prepcv13
2002,F,5.444,4.875,6.261,TRUE,18+y,Fitted,prepcv13
2002,N,365.186,343.686,380.459,TRUE,<1y,Fitted,prepcv13
2002,N,98.44,91.272,103.844,TRUE,1-4y,Fitted,prepcv13
2002,N,19.313,17.588,20.51,TRUE,5-17y,Fitted,prepcv13
2002,N,102.857,93.636,109.189,TRUE,18+y,Fitted,prepcv13
2002,V,213.473,188.529,240.512,TRUE,<1y,Fitted,prepcv13
2002,V,153.076,137.2,171.584,TRUE,1-4y,Fitted,prepcv13
2002,V,13.885,12.37,15.705,TRUE,5-17y,Fitted,prepcv13
2002,V,83.473,74.297,94.337,TRUE,18+y,Fitted,prepcv13
2003,F,20.026,16.57,24.651,TRUE,<1y,Fitted,prepcv13
2003,F,16.817,14.336,19.662,TRUE,1-4y,Fitted,prepcv13
2003,F,0.662,0.569,0.789,TRUE,5-17y,Fitted,prepcv13
2003,F,4.667,3.99,5.581,TRUE,18+y,Fitted,prepcv13
2003,N,398.133,379.819,415.226,TRUE,<1y,Fitted,prepcv13
2003,N,134.957,124.981,143.334,TRUE,1-4y,Fitted,prepcv13
2003,N,22.714,21.017,23.999,TRUE,5-17y,Fitted,prepcv13
2003,N,115.816,107.162,122.424,TRUE,18+y,Fitted,prepcv13
2003,V,142.096,117.525,166.397,TRUE,<1y,Fitted,prepcv13
2003,V,111.828,96.715,126.757,TRUE,1-4y,Fitted,prepcv13
2003,V,11.451,9.967,13.148,TRUE,5-17y,Fitted,prepcv13
2003,V,69.602,60.568,80.272,TRUE,18+y,Fitted,prepcv13
2004,F,15.868,12.163,20.743,TRUE,<1y,Fitted,prepcv13
2004,F,12.815,10.271,16.066,TRUE,1-4y,Fitted,prepcv13
2004,F,0.57,0.462,0.703,TRUE,5-17y,Fitted,prepcv13
2004,F,4.102,3.306,5.073,TRUE,18+y,Fitted,prepcv13
2004,N,416.87,399.346,433.965,TRUE,<1y,Fitted,prepcv13
2004,N,165.902,152.777,176.552,TRUE,1-4y,Fitted,prepcv13
2004,N,26.156,24.367,27.787,TRUE,5-17y,Fitted,prepcv13
2004,N,128.466,119.766,135.787,TRUE,18+y,Fitted,prepcv13
2004,V,110.65,86.765,134.508,TRUE,<1y,Fitted,prepcv13
2004,V,84.592,68.073,98.1,TRUE,1-4y,Fitted,prepcv13
2004,V,9.589,7.982,11.433,TRUE,5-17y,Fitted,prepcv13
2004,V,59.667,49.553,71.025,TRUE,18+y,Fitted,prepcv13
2005,F,13.571,9.646,18.813,TRUE,<1y,Fitted,prepcv13
2005,F,10.003,7.483,13.441,TRUE,1-4y,Fitted,prepcv13
2005,F,0.496,0.375,0.637,TRUE,5-17y,Fitted,prepcv13
2005,F,3.659,2.763,4.71,TRUE,18+y,Fitted,prepcv13
2005,N,428.564,409.892,445.39,TRUE,<1y,Fitted,prepcv13
2005,N,190.292,174.495,203.433,TRUE,1-4y,Fitted,prepcv13
2005,N,29.555,27.266,31.622,TRUE,5-17y,Fitted,prepcv13
2005,N,141.774,132.129,150.561,TRUE,18+y,Fitted,prepcv13
2005,V,93.051,68.497,117.769,TRUE,<1y,Fitted,prepcv13
2005,V,65.877,49.038,78.525,TRUE,1-4y,Fitted,prepcv13
2005,V,8.206,6.331,9.978,TRUE,5-17y,Fitted,prepcv13
2005,V,52.041,40.387,63.474,TRUE,18+y,Fitted,prepcv13
2006,F,12.107,7.83,17.635,TRUE,<1y,Fitted,prepcv13
2006,F,8.089,5.465,11.617,TRUE,1-4y,Fitted,prepcv13
2006,F,0.427,0.301,0.58,TRUE,5-17y,Fitted,prepcv13
2006,F,3.251,2.281,4.379,TRUE,18+y,Fitted,prepcv13
2006,N,436.784,416.239,453.43,TRUE,<1y,Fitted,prepcv13
2006,N,209.724,190.428,224.682,TRUE,1-4y,Fitted,prepcv13
2006,N,32.998,30.129,35.496,TRUE,5-17y,Fitted,prepcv13
2006,N,156.796,144.3,167.832,TRUE,18+y,Fitted,prepcv13
2006,V,81.08,55.993,106.629,TRUE,<1y,Fitted,prepcv13
2006,V,52.092,36.313,65.119,TRUE,1-4y,Fitted,prepcv13
2006,V,7.048,5.03,8.723,TRUE,5-17y,Fitted,prepcv13
2006,V,45.831,33.005,57.342,TRUE,18+y,Fitted,prepcv13
2007,F,10.922,6.41,16.789,TRUE,<1y,Fitted,prepcv13
2007,F,6.74,4.046,10.322,TRUE,1-4y,Fitted,prepcv13
2007,F,0.373,0.24,0.541,TRUE,5-17y,Fitted,prepcv13
2007,F,2.909,1.884,4.112,TRUE,18+y,Fitted,prepcv13
2007,N,442.888,421.802,459.545,TRUE,<1y,Fitted,prepcv13
2007,N,224.807,201.687,241.167,TRUE,1-4y,Fitted,prepcv13
2007,N,36.401,32.889,39.329,TRUE,5-17y,Fitted,prepcv13
2007,N,174.718,158.517,188.115,TRUE,18+y,Fitted,prepcv13
2007,V,72.08,46.355,98.188,TRUE,<1y,Fitted,prepcv13
2007,V,42.413,27.498,56.702,TRUE,1-4y,Fitted,prepcv13
2007,V,6.104,4.011,7.718,TRUE,5-17y,Fitted,prepcv13
2007,V,40.686,27.112,52.098,TRUE,18+y,Fitted,prepcv13
2008,F,9.997,5.233,16.117,TRUE,<1y,Fitted,prepcv13
2008,F,5.749,3.032,9.383,TRUE,1-4y,Fitted,prepcv13
2008,F,0.329,0.188,0.505,TRUE,5-17y,Fitted,prepcv13
2008,F,2.655,1.532,3.94,TRUE,18+y,Fitted,prepcv13
2008,N,447.661,426.139,464.438,TRUE,<1y,Fitted,prepcv13
2008,N,236.825,209.996,254.063,TRUE,1-4y,Fitted,prepcv13
2008,N,39.587,35.431,43.002,TRUE,5-17y,Fitted,prepcv13
2008,N,194.618,174.382,211.307,TRUE,18+y,Fitted,prepcv13
2008,V,64.474,38.397,91.337,TRUE,<1y,Fitted,prepcv13
2008,V,35.605,21.137,50.468,TRUE,1-4y,Fitted,prepcv13
2008,V,5.245,3.194,6.921,TRUE,5-17y,Fitted,prepcv13
2008,V,36.264,22.252,47.699,TRUE,18+y,Fitted,prepcv13
2009,F,9.145,4.236,15.554,TRUE,<1y,Fitted,prepcv13
2009,F,5.001,2.287,8.689,TRUE,1-4y,Fitted,prepcv13
2009,F,0.291,0.145,0.473,TRUE,5-17y,Fitted,prepcv13
2009,F,2.417,1.226,3.799,TRUE,18+y,Fitted,prepcv13
2009,N,451.833,429.858,468.718,TRUE,<1y,Fitted,prepcv13
2009,N,245.915,216.15,264.291,TRUE,1-4y,Fitted,prepcv13
2009,N,42.592,37.567,46.514,TRUE,5-17y,Fitted,prepcv13
2009,N,216.722,190.217,237.36,TRUE,18+y,Fitted,prepcv13
2009,V,57.893,31.658,85.558,TRUE,<1y,Fitted,prepcv13
2009,V,30.264,16.406,45.504,TRUE,1-4y,Fitted,prepcv13
2009,V,4.496,2.532,6.27,TRUE,5-17y,Fitted,prepcv13
2009,V,31.897,18.165,44.152,TRUE,18+y,Fitted,prepcv13
2010,F,5.743,2.954,10.272,TRUE,<1y,Fitted,postpcv13
2010,F,3.343,1.551,6.254,TRUE,1-4y,Fitted,postpcv13
2010,F,0.249,0.122,0.404,TRUE,5-17y,Fitted,postpcv13
2010,F,2.192,1.085,3.432,TRUE,18+y,Fitted,postpcv13
2010,N,41.454,40.102,43.001,TRUE,<1y,Fitted,postpcv13
2010,N,29.009,26.066,35.074,TRUE,1-4y,Fitted,postpcv13
2010,N,5.426,5.136,5.808,TRUE,5-17y,Fitted,postpcv13
2010,N,85.961,79.656,92.88,TRUE,18+y,Fitted,postpcv13
2010,V,109.837,60.053,147.336,TRUE,<1y,Fitted,postpcv13
2010,V,55.507,30.285,83.466,TRUE,1-4y,Fitted,postpcv13
2010,V,9.164,5.052,12.585,TRUE,5-17y,Fitted,postpcv13
2010,V,57.913,32.575,79.621,TRUE,18+y,Fitted,postpcv13
2011,F,6.11,2.938,12.235,TRUE,<1y,Fitted,postpcv13
2011,F,2.778,1.275,5.403,TRUE,1-4y,Fitted,postpcv13
2011,F,0.212,0.101,0.361,TRUE,5-17y,Fitted,postpcv13
2011,F,1.941,0.947,3.213,TRUE,18+y,Fitted,postpcv13
2011,N,52.293,49.96,54.692,TRUE,<1y,Fitted,postpcv13
2011,N,27.815,24.922,32.91,TRUE,1-4y,Fitted,postpcv13
2011,N,5.424,5.087,5.771,TRUE,5-17y,Fitted,postpcv13
2011,N,88.375,81.811,94.729,TRUE,18+y,Fitted,postpcv13
2011,V,95.475,48.518,132.258,TRUE,<1y,Fitted,postpcv13
2011,V,38.196,19.137,57.194,TRUE,1-4y,Fitted,postpcv13
2011,V,6.531,3.295,9.036,TRUE,5-17y,Fitted,postpcv13
2011,V,43.508,22.173,60.13,TRUE,18+y,Fitted,postpcv13
2012,F,5.626,2.535,12.559,TRUE,<1y,Fitted,postpcv13
2012,F,2.258,0.974,5.082,TRUE,1-4y,Fitted,postpcv13
2012,F,0.171,0.078,0.334,TRUE,5-17y,Fitted,postpcv13
2012,F,1.654,0.76,3.161,TRUE,18+y,Fitted,postpcv13
2012,N,57.043,54.406,59.734,TRUE,<1y,Fitted,postpcv13
2012,N,28.239,25.144,33.062,TRUE,1-4y,Fitted,postpcv13
2012,N,5.459,5.086,5.79,TRUE,5-17y,Fitted,postpcv13
2012,N,91.154,83.173,96.82,TRUE,18+y,Fitted,postpcv13
2012,V,79.522,33.754,113.397,TRUE,<1y,Fitted,postpcv13
2012,V,27.954,11.774,42.183,TRUE,1-4y,Fitted,postpcv13
2012,V,4.557,2.025,6.864,TRUE,5-17y,Fitted,postpcv13
2012,V,31.808,14.264,48.395,TRUE,18+y,Fitted,postpcv13
2013,F,4.884,2.033,12.792,TRUE,<1y,Fitted,postpcv13
2013,F,1.907,0.752,5.245,TRUE,1-4y,Fitted,postpcv13
2013,F,0.139,0.055,0.312,TRUE,5-17y,Fitted,postpcv13
2013,F,1.367,0.557,2.982,TRUE,18+y,Fitted,postpcv13
2013,N,59.298,56.623,61.966,TRUE,<1y,Fitted,postpcv13
2013,N,28.93,25.982,35.076,TRUE,1-4y,Fitted,postpcv13
2013,N,5.529,5.145,5.889,TRUE,5-17y,Fitted,postpcv13
2013,N,93.989,85.28,98.905,TRUE,18+y,Fitted,postpcv13
2013,V,62.504,22.212,98.018,TRUE,<1y,Fitted,postpcv13
2013,V,20.977,7.76,32.868,TRUE,1-4y,Fitted,postpcv13
2013,V,3.293,1.269,5.4,TRUE,5-17y,Fitted,postpcv13
2013,V,24.174,9.039,39.572,TRUE,18+y,Fitted,postpcv13
2014,F,4.105,1.471,12.665,TRUE,<1y,Fitted,postpcv13
2014,F,1.549,0.55,4.989,TRUE,1-4y,Fitted,postpcv13
2014,F,0.111,0.037,0.286,TRUE,5-17y,Fitted,postpcv13
2014,F,1.151,0.391,2.823,TRUE,18+y,Fitted,postpcv13
2014,N,60.49,57.886,63.103,TRUE,<1y,Fitted,postpcv13
2014,N,30.333,26.885,37.593,TRUE,1-4y,Fitted,postpcv13
2014,N,5.635,5.23,5.982,TRUE,5-17y,Fitted,postpcv13
2014,N,96.682,87.737,101.368,TRUE,18+y,Fitted,postpcv13
2014,V,48.502,14.354,84.69,TRUE,<1y,Fitted,postpcv13
2014,V,15.914,5.004,27.411,TRUE,1-4y,Fitted,postpcv13
2014,V,2.325,0.741,4.192,TRUE,5-17y,Fitted,postpcv13
2014,V,17.771,5.507,32.115,TRUE,18+y,Fitted,postpcv13
2015,F,3.455,1.013,12.396,TRUE,<1y,Fitted,postpcv13
2015,F,1.289,0.391,5.06,TRUE,1-4y,Fitted,postpcv13
2015,F,0.087,0.024,0.253,TRUE,5-17y,Fitted,postpcv13
2015,F,0.94,0.264,2.59,TRUE,18+y,Fitted,postpcv13
2015,N,61.256,58.741,63.705,TRUE,<1y,Fitted,postpcv13
2015,N,31.576,27.977,40.852,TRUE,1-4y,Fitted,postpcv13
2015,N,5.771,5.332,6.109,TRUE,5-17y,Fitted,postpcv13
2015,N,99.662,90.489,104.024,TRUE,18+y,Fitted,postpcv13
2015,V,36.314,9.124,71.408,TRUE,<1y,Fitted,postpcv13
2015,V,12.366,3.154,24.186,TRUE,1-4y,Fitted,postpcv13
2015,V,1.718,0.437,3.355,TRUE,5-17y,Fitted,postpcv13
2015,V,13.605,3.373,26.846,TRUE,18+y,Fitted,postpcv13
2016,F,2.805,0.666,12.08,TRUE,<1y,Fitted,postpcv13
