yearc,stg,m,l,u,na.rm,agegp,cat,timex
1999,F,144.706,133.394,152.931,TRUE,<1y,Fitted,prepcv13
1999,F,35.493,32.417,37.731,TRUE,1-4y,Fitted,prepcv13
1999,F,1.012,0.917,1.085,TRUE,5-17y,Fitted,prepcv13
1999,F,7.087,6.409,7.602,TRUE,18+y,Fitted,prepcv13
1999,N,161.874,151.003,170.755,TRUE,<1y,Fitted,prepcv13
1999,N,41.837,38.734,44.404,TRUE,1-4y,Fitted,prepcv13
1999,N,14.305,13.108,15.267,TRUE,5-17y,Fitted,prepcv13
1999,N,78.69,72.027,84.014,TRUE,18+y,Fitted,prepcv13
1999,V,1063.282,991.919,1150.436,TRUE,<1y,Fitted,prepcv13
1999,V,247.56,229.211,270.401,TRUE,1-4y,Fitted,prepcv13
1999,V,18.366,16.831,20.197,TRUE,5-17y,Fitted,prepcv13
1999,V,111.21,101.839,122.398,TRUE,18+y,Fitted,prepcv13
2000,F,144.706,133.394,152.931,TRUE,<1y,Fitted,prepcv13
2000,F,35.493,32.417,37.731,TRUE,1-4y,Fitted,prepcv13
2000,F,1.012,0.917,1.085,TRUE,5-17y,Fitted,prepcv13
2000,F,7.087,6.409,7.602,TRUE,18+y,Fitted,prepcv13
2000,N,161.874,151.003,170.755,TRUE,<1y,Fitted,prepcv13
2000,N,41.837,38.734,44.404,TRUE,1-4y,Fitted,prepcv13
2000,N,14.305,13.108,15.267,TRUE,5-17y,Fitted,prepcv13
2000,N,78.69,72.027,84.014,TRUE,18+y,Fitted,prepcv13
2000,V,1063.282,991.919,1150.436,TRUE,<1y,Fitted,prepcv13
2000,V,247.56,229.211,270.401,TRUE,1-4y,Fitted,prepcv13
2000,V,18.366,16.831,20.197,TRUE,5-17y,Fitted,prepcv13
2000,V,111.21,101.839,122.398,TRUE,18+y,Fitted,prepcv13
2001,F,56.811,51.548,61.034,TRUE,<1y,Fitted,prepcv13
2001,F,29.994,27.013,32.18,TRUE,1-4y,Fitted,prepcv13
2001,F,0.918,0.82,0.991,TRUE,5-17y,Fitted,prepcv13
2001,F,6.366,5.678,6.886,TRUE,18+y,Fitted,prepcv13
2001,N,297.577,280.189,311.834,TRUE,<1y,Fitted,prepcv13
2001,N,60.972,56.944,64.515,TRUE,1-4y,Fitted,prepcv13
2001,N,15.906,14.7,16.957,TRUE,5-17y,Fitted,prepcv13
2001,N,87.227,80.58,93.047,TRUE,18+y,Fitted,prepcv13
2001,V,411.501,377.165,450.085,TRUE,<1y,Fitted,prepcv13
2001,V,207.128,189.199,228.46,TRUE,1-4y,Fitted,prepcv13
2001,V,16.481,14.937,18.338,TRUE,5-17y,Fitted,prepcv13
2001,V,98.858,89.429,110.143,TRUE,18+y,Fitted,prepcv13
2002,F,29.649,25.03,34.276,TRUE,<1y,Fitted,prepcv13
2002,F,22.403,19.156,24.571,TRUE,1-4y,Fitted,prepcv13
2002,F,0.779,0.666,0.863,TRUE,5-17y,Fitted,prepcv13
2002,F,5.415,4.613,6.015,TRUE,18+y,Fitted,prepcv13
2002,N,364.731,347.871,377.609,TRUE,<1y,Fitted,prepcv13
2002,N,98.467,92.913,103.014,TRUE,1-4y,Fitted,prepcv13
2002,N,19.176,17.977,20.263,TRUE,5-17y,Fitted,prepcv13
2002,N,102.074,95.658,108.072,TRUE,18+y,Fitted,prepcv13
2002,V,213.643,183.861,242.457,TRUE,<1y,Fitted,prepcv13
2002,V,152.377,133.765,172.311,TRUE,1-4y,Fitted,prepcv13
2002,V,13.779,12.045,15.691,TRUE,5-17y,Fitted,prepcv13
2002,V,82.935,72.205,94.53,TRUE,18+y,Fitted,prepcv13
2003,F,19.635,15.539,24.876,TRUE,<1y,Fitted,prepcv13
2003,F,16.625,13.309,19.22,TRUE,1-4y,Fitted,prepcv13
2003,F,0.656,0.531,0.751,TRUE,5-17y,Fitted,prepcv13
2003,F,4.617,3.725,5.307,TRUE,18+y,Fitted,prepcv13
2003,N,398.916,380.986,411.186,TRUE,<1y,Fitted,prepcv13
2003,N,135.397,126.015,141.824,TRUE,1-4y,Fitted,prepcv13
2003,N,22.71,21.433,23.857,TRUE,5-17y,Fitted,prepcv13
2003,N,115.731,109.115,121.565,TRUE,18+y,Fitted,prepcv13
2003,V,141.602,113.426,168.663,TRUE,<1y,Fitted,prepcv13
2003,V,110.759,92.878,131.274,TRUE,1-4y,Fitted,prepcv13
2003,V,11.489,9.553,13.674,TRUE,5-17y,Fitted,prepcv13
2003,V,69.968,57.997,83.545,TRUE,18+y,Fitted,prepcv13
2004,F,15.348,11.35,21.078,TRUE,<1y,Fitted,prepcv13
2004,F,12.55,9.376,15.646,TRUE,1-4y,Fitted,prepcv13
2004,F,0.556,0.422,0.665,TRUE,5-17y,Fitted,prepcv13
2004,F,3.995,3.028,4.783,TRUE,18+y,Fitted,prepcv13
2004,N,417.17,399.592,430.29,TRUE,<1y,Fitted,prepcv13
2004,N,166.708,151.507,174.952,TRUE,1-4y,Fitted,prepcv13
2004,N,26.214,24.626,27.578,TRUE,5-17y,Fitted,prepcv13
2004,N,128.58,121.398,134.667,TRUE,18+y,Fitted,prepcv13
2004,V,109.972,82.417,138.258,TRUE,<1y,Fitted,prepcv13
2004,V,83.344,65.148,102.255,TRUE,1-4y,Fitted,prepcv13
2004,V,9.612,7.619,11.981,TRUE,5-17y,Fitted,prepcv13
2004,V,59.893,47.256,74.783,TRUE,18+y,Fitted,prepcv13
2005,F,13.098,8.983,19.086,TRUE,<1y,Fitted,prepcv13
2005,F,9.771,6.77,13.123,TRUE,1-4y,Fitted,prepcv13
2005,F,0.48,0.336,0.602,TRUE,5-17y,Fitted,prepcv13
2005,F,3.527,2.476,4.406,TRUE,18+y,Fitted,prepcv13
2005,N,429.272,411.139,442.398,TRUE,<1y,Fitted,prepcv13
2005,N,191.472,169.794,201.195,TRUE,1-4y,Fitted,prepcv13
2005,N,29.808,27.452,31.43,TRUE,5-17y,Fitted,prepcv13
2005,N,142.482,133.286,149.633,TRUE,18+y,Fitted,prepcv13
2005,V,92.489,64.843,121.642,TRUE,<1y,Fitted,prepcv13
2005,V,65.23,46.723,82.739,TRUE,1-4y,Fitted,prepcv13
2005,V,8.138,6.035,10.587,TRUE,5-17y,Fitted,prepcv13
2005,V,51.804,38.444,67.834,TRUE,18+y,Fitted,prepcv13
2006,F,11.667,7.372,17.854,TRUE,<1y,Fitted,prepcv13
2006,F,7.891,5.012,11.377,TRUE,1-4y,Fitted,prepcv13
2006,F,0.414,0.268,0.554,TRUE,5-17y,Fitted,prepcv13
2006,F,3.132,2.033,4.139,TRUE,18+y,Fitted,prepcv13
2006,N,437.744,418.313,450.837,TRUE,<1y,Fitted,prepcv13
2006,N,210.711,182.805,222.335,TRUE,1-4y,Fitted,prepcv13
2006,N,33.339,29.995,35.193,TRUE,5-17y,Fitted,prepcv13
2006,N,158.361,144.986,166.797,TRUE,18+y,Fitted,prepcv13
2006,V,81.147,52.645,110.892,TRUE,<1y,Fitted,prepcv13
2006,V,52.211,34.276,69.658,TRUE,1-4y,Fitted,prepcv13
2006,V,6.94,4.777,9.402,TRUE,5-17y,Fitted,prepcv13
2006,V,45.459,31.349,62.081,TRUE,18+y,Fitted,prepcv13
2007,F,10.449,6.117,17,TRUE,<1y,Fitted,prepcv13
2007,F,6.471,3.816,10.203,TRUE,1-4y,Fitted,prepcv13
2007,F,0.362,0.215,0.515,TRUE,5-17y,Fitted,prepcv13
2007,F,2.806,1.679,3.927,TRUE,18+y,Fitted,prepcv13
2007,N,444.283,423.643,457.204,TRUE,<1y,Fitted,prepcv13
2007,N,225.224,192.083,238.825,TRUE,1-4y,Fitted,prepcv13
2007,N,36.696,32.289,38.927,TRUE,5-17y,Fitted,prepcv13
2007,N,176.231,157.189,186.448,TRUE,18+y,Fitted,prepcv13
2007,V,72.55,43.143,102.947,TRUE,<1y,Fitted,prepcv13
2007,V,43.017,25.627,60.306,TRUE,1-4y,Fitted,prepcv13
2007,V,6.006,3.772,8.367,TRUE,5-17y,Fitted,prepcv13
2007,V,40.297,25.535,56.955,TRUE,18+y,Fitted,prepcv13
2008,F,9.491,5.052,16.337,TRUE,<1y,Fitted,prepcv13
2008,F,5.485,2.912,9.426,TRUE,1-4y,Fitted,prepcv13
2008,F,0.316,0.173,0.481,TRUE,5-17y,Fitted,prepcv13
2008,F,2.533,1.391,3.756,TRUE,18+y,Fitted,prepcv13
2008,N,449.377,427.548,462.424,TRUE,<1y,Fitted,prepcv13
2008,N,236.7,198.793,251.721,TRUE,1-4y,Fitted,prepcv13
2008,N,39.884,34.215,42.568,TRUE,5-17y,Fitted,prepcv13
2008,N,196.277,169.73,209.233,TRUE,18+y,Fitted,prepcv13
2008,V,65.053,35.326,96.827,TRUE,<1y,Fitted,prepcv13
2008,V,35.742,19.43,53.46,TRUE,1-4y,Fitted,prepcv13
