yearc,stg,m,l,u,na.rm,agegp,cat,timex
1999,F,145.65,132.829,155.537,TRUE,<1y,Fitted,prepcv13
1999,F,35.741,32.273,38.46,TRUE,1-4y,Fitted,prepcv13
1999,F,1.021,0.911,1.107,TRUE,5-17y,Fitted,prepcv13
1999,F,7.148,6.374,7.756,TRUE,18+y,Fitted,prepcv13
1999,N,161.227,148.845,173.324,TRUE,<1y,Fitted,prepcv13
1999,N,41.671,38.125,45.166,TRUE,1-4y,Fitted,prepcv13
1999,N,14.211,12.883,15.545,TRUE,5-17y,Fitted,prepcv13
1999,N,78.157,70.782,85.552,TRUE,18+y,Fitted,prepcv13
1999,V,1062.859,989.681,1135.97,TRUE,<1y,Fitted,prepcv13
1999,V,247.455,228.64,266.4,TRUE,1-4y,Fitted,prepcv13
1999,V,18.311,16.797,19.926,TRUE,5-17y,Fitted,prepcv13
1999,V,110.837,101.64,120.757,TRUE,18+y,Fitted,prepcv13
2000,F,145.65,132.829,155.537,TRUE,<1y,Fitted,prepcv13
2000,F,35.741,32.273,38.46,TRUE,1-4y,Fitted,prepcv13
2000,F,1.021,0.911,1.107,TRUE,5-17y,Fitted,prepcv13
2000,F,7.148,6.374,7.756,TRUE,18+y,Fitted,prepcv13
2000,N,161.227,148.845,173.324,TRUE,<1y,Fitted,prepcv13
2000,N,41.671,38.125,45.166,TRUE,1-4y,Fitted,prepcv13
2000,N,14.211,12.883,15.545,TRUE,5-17y,Fitted,prepcv13
2000,N,78.157,70.782,85.552,TRUE,18+y,Fitted,prepcv13
2000,V,1062.859,989.681,1135.97,TRUE,<1y,Fitted,prepcv13
2000,V,247.455,228.64,266.4,TRUE,1-4y,Fitted,prepcv13
2000,V,18.311,16.797,19.926,TRUE,5-17y,Fitted,prepcv13
2000,V,110.837,101.64,120.757,TRUE,18+y,Fitted,prepcv13
2001,F,57.084,51.927,61.897,TRUE,<1y,Fitted,prepcv13
2001,F,30.273,27.362,33.075,TRUE,1-4y,Fitted,prepcv13
2001,F,0.927,0.831,1.024,TRUE,5-17y,Fitted,prepcv13
2001,F,6.433,5.757,7.118,TRUE,18+y,Fitted,prepcv13
2001,N,296.411,281.259,312.707,TRUE,<1y,Fitted,prepcv13
2001,N,60.902,56.581,65.256,TRUE,1-4y,Fitted,prepcv13
2001,N,15.891,14.547,17.151,TRUE,5-17y,Fitted,prepcv13
2001,N,87.164,79.77,94.089,TRUE,18+y,Fitted,prepcv13
2001,V,411.439,380.053,443.146,TRUE,<1y,Fitted,prepcv13
2001,V,206.657,190.151,222.319,TRUE,1-4y,Fitted,prepcv13
2001,V,16.403,14.997,17.824,TRUE,5-17y,Fitted,prepcv13
2001,V,98.289,89.813,106.958,TRUE,18+y,Fitted,prepcv13
2002,F,29.636,26.278,33.639,TRUE,<1y,Fitted,prepcv13
2002,F,22.534,20.044,25.318,TRUE,1-4y,Fitted,prepcv13
2002,F,0.788,0.695,0.891,TRUE,5-17y,Fitted,prepcv13
2002,F,5.475,4.822,6.215,TRUE,18+y,Fitted,prepcv13
2002,N,364.009,349.875,380.274,TRUE,<1y,Fitted,prepcv13
2002,N,98.385,93.434,103.822,TRUE,1-4y,Fitted,prepcv13
2002,N,19.156,17.978,20.423,TRUE,5-17y,Fitted,prepcv13
2002,N,101.915,95.692,108.649,TRUE,18+y,Fitted,prepcv13
2002,V,210.543,187.24,232.543,TRUE,<1y,Fitted,prepcv13
2002,V,151.387,136.484,165.81,TRUE,1-4y,Fitted,prepcv13
2002,V,13.657,12.297,15.144,TRUE,5-17y,Fitted,prepcv13
2002,V,82.015,73.769,91.139,TRUE,18+y,Fitted,prepcv13
2003,F,19.801,16.741,24.124,TRUE,<1y,Fitted,prepcv13
2003,F,16.686,14.27,19.331,TRUE,1-4y,Fitted,prepcv13
2003,F,0.664,0.566,0.78,TRUE,5-17y,Fitted,prepcv13
2003,F,4.677,3.977,5.515,TRUE,18+y,Fitted,prepcv13
2003,N,399.269,384.116,414.859,TRUE,<1y,Fitted,prepcv13
2003,N,135.866,127.537,142.724,TRUE,1-4y,Fitted,prepcv13
2003,N,22.684,21.499,24.026,TRUE,5-17y,Fitted,prepcv13
2003,N,115.598,109.357,122.404,TRUE,18+y,Fitted,prepcv13
2003,V,137.223,117.154,158.676,TRUE,<1y,Fitted,prepcv13
2003,V,110.263,95.611,123.545,TRUE,1-4y,Fitted,prepcv13
2003,V,11.337,9.86,12.829,TRUE,5-17y,Fitted,prepcv13
