yearc,stg,m,l,u,na.rm,agegp,cat,timex
1999,F,75.544,70.339,81.761,TRUE,<1y,Fitted,prepcv13
1999,F,21.766,20.105,23.787,TRUE,1-4y,Fitted,prepcv13
1999,F,5.438,4.976,6.007,TRUE,5-17y,Fitted,prepcv13
1999,F,97.026,88.7,107.303,TRUE,18+y,Fitted,prepcv13
1999,N,83.925,78.876,89.916,TRUE,<1y,Fitted,prepcv13
1999,N,25.435,23.731,27.465,TRUE,1-4y,Fitted,prepcv13
1999,N,44.383,41.14,48.517,TRUE,5-17y,Fitted,prepcv13
1999,N,965.834,894.664,1057.107,TRUE,18+y,Fitted,prepcv13
1999,V,548.572,502.258,587.348,TRUE,<1y,Fitted,prepcv13
1999,V,147.458,133.658,159.132,TRUE,1-4y,Fitted,prepcv13
1999,V,55.086,49.375,60.041,TRUE,5-17y,Fitted,prepcv13
1999,V,1364.184,1221.334,1488.34,TRUE,18+y,Fitted,prepcv13
2000,F,75.544,70.339,81.761,TRUE,<1y,Fitted,prepcv13
2000,F,21.766,20.105,23.787,TRUE,1-4y,Fitted,prepcv13
2000,F,5.438,4.976,6.007,TRUE,5-17y,Fitted,prepcv13
2000,F,97.026,88.7,107.303,TRUE,18+y,Fitted,prepcv13
2000,N,83.925,78.876,89.916,TRUE,<1y,Fitted,prepcv13
2000,N,25.435,23.731,27.465,TRUE,1-4y,Fitted,prepcv13
2000,N,44.383,41.14,48.517,TRUE,5-17y,Fitted,prepcv13
2000,N,965.834,894.664,1057.107,TRUE,18+y,Fitted,prepcv13
2000,V,548.572,502.258,587.348,TRUE,<1y,Fitted,prepcv13
2000,V,147.458,133.658,159.132,TRUE,1-4y,Fitted,prepcv13
2000,V,55.086,49.375,60.041,TRUE,5-17y,Fitted,prepcv13
2000,V,1364.184,1221.334,1488.34,TRUE,18+y,Fitted,prepcv13
2001,F,30.008,27.158,32.62,TRUE,<1y,Fitted,prepcv13
2001,F,18.722,16.882,20.604,TRUE,1-4y,Fitted,prepcv13
2001,F,5.019,4.499,5.59,TRUE,5-17y,Fitted,prepcv13
2001,F,88.71,79.086,99.178,TRUE,18+y,Fitted,prepcv13
2001,N,149.115,136.277,161.532,TRUE,<1y,Fitted,prepcv13
2001,N,36.805,34.242,39.631,TRUE,1-4y,Fitted,prepcv13
2001,N,49.526,45.873,53.835,TRUE,5-17y,Fitted,prepcv13
2001,N,1076.398,995.582,1171.297,TRUE,18+y,Fitted,prepcv13
2001,V,212.93,194.255,229.844,TRUE,<1y,Fitted,prepcv13
2001,V,123.222,111.766,133.223,TRUE,1-4y,Fitted,prepcv13
2001,V,49.477,44.347,53.771,TRUE,5-17y,Fitted,prepcv13
2001,V,1212.161,1082.945,1318.23,TRUE,18+y,Fitted,prepcv13
2002,F,16.117,13.019,19.838,TRUE,<1y,Fitted,prepcv13
2002,F,14.198,11.839,16.425,TRUE,1-4y,Fitted,prepcv13
2002,F,4.318,3.606,5.002,TRUE,5-17y,Fitted,prepcv13
2002,F,76.501,63.2,89.052,TRUE,18+y,Fitted,prepcv13
2002,N,181.816,166.494,198.151,TRUE,<1y,Fitted,prepcv13
2002,N,58.687,53.791,63.624,TRUE,1-4y,Fitted,prepcv13
2002,N,59.807,54.711,64.903,TRUE,5-17y,Fitted,prepcv13
2002,N,1265.68,1156.885,1376.291,TRUE,18+y,Fitted,prepcv13
2002,V,110.029,95,124.299,TRUE,<1y,Fitted,prepcv13
2002,V,90.472,80.382,102.217,TRUE,1-4y,Fitted,prepcv13
2002,V,41.23,35.988,46.762,TRUE,5-17y,Fitted,prepcv13
2002,V,1007.291,876.605,1152.056,TRUE,18+y,Fitted,prepcv13
2003,F,11.091,7.89,15.83,TRUE,<1y,Fitted,prepcv13
2003,F,10.796,7.941,13.684,TRUE,1-4y,Fitted,prepcv13
2003,F,3.751,2.755,4.616,TRUE,5-17y,Fitted,prepcv13
2003,F,67.192,48.585,83.227,TRUE,18+y,Fitted,prepcv13
2003,N,199.297,182.347,216.509,TRUE,<1y,Fitted,prepcv13
2003,N,79.553,71.253,88.09,TRUE,1-4y,Fitted,prepcv13
2003,N,70.086,63.968,76.536,TRUE,5-17y,Fitted,prepcv13
2003,N,1434.693,1306.583,1565.039,TRUE,18+y,Fitted,prepcv13
2003,V,73.204,58.318,89.752,TRUE,<1y,Fitted,prepcv13
2003,V,65.501,54.337,77.214,TRUE,1-4y,Fitted,prepcv13
2003,V,33.959,27.614,40.498,TRUE,5-17y,Fitted,prepcv13
2003,V,838.74,676.365,1010.11,TRUE,18+y,Fitted,prepcv13
2004,F,9.012,5.545,14.475,TRUE,<1y,Fitted,prepcv13
2004,F,8.534,5.321,12.047,TRUE,1-4y,Fitted,prepcv13
2004,F,3.244,2.081,4.305,TRUE,5-17y,Fitted,prepcv13
2004,F,59.249,37.358,78.754,TRUE,18+y,Fitted,prepcv13
2004,N,208.558,191.691,226.995,TRUE,<1y,Fitted,prepcv13
2004,N,97.293,85.403,108.288,TRUE,1-4y,Fitted,prepcv13
2004,N,80.284,72.885,88.894,TRUE,5-17y,Fitted,prepcv13
2004,N,1601.433,1461.932,1764.795,TRUE,18+y,Fitted,prepcv13
2004,V,57.152,41.287,74.963,TRUE,<1y,Fitted,prepcv13
2004,V,48.733,36.634,61.487,TRUE,1-4y,Fitted,prepcv13
2004,V,27.71,20.836,35.635,TRUE,5-17y,Fitted,prepcv13
2004,V,699.854,520.452,908.944,TRUE,18+y,Fitted,prepcv13
2005,F,8.036,4.124,13.986,TRUE,<1y,Fitted,prepcv13
2005,F,6.833,3.609,10.917,TRUE,1-4y,Fitted,prepcv13
2005,F,2.835,1.553,4.093,TRUE,5-17y,Fitted,prepcv13
2005,F,52.678,28.673,76.519,TRUE,18+y,Fitted,prepcv13
2005,N,215.329,198.234,233.551,TRUE,<1y,Fitted,prepcv13
