yearc,stg,m,l,u,na.rm,agegp,cat,timex
1999,F,75.527,71.167,81.66,TRUE,<1y,Fitted,prepcv13
1999,F,21.779,20.371,23.755,TRUE,1-4y,Fitted,prepcv13
1999,F,5.425,5.043,5.997,TRUE,5-17y,Fitted,prepcv13
1999,F,96.773,89.888,107.105,TRUE,18+y,Fitted,prepcv13
1999,N,84.271,79.187,89.801,TRUE,<1y,Fitted,prepcv13
1999,N,25.546,23.83,27.442,TRUE,1-4y,Fitted,prepcv13
1999,N,44.73,41.415,48.37,TRUE,5-17y,Fitted,prepcv13
1999,N,973.987,900.878,1053.644,TRUE,18+y,Fitted,prepcv13
1999,V,549.036,506.203,587.217,TRUE,<1y,Fitted,prepcv13
1999,V,147.582,134.808,159.034,TRUE,1-4y,Fitted,prepcv13
1999,V,55.144,49.879,60.095,TRUE,5-17y,Fitted,prepcv13
1999,V,1365.867,1234.059,1489.957,TRUE,18+y,Fitted,prepcv13
2000,F,75.527,71.167,81.66,TRUE,<1y,Fitted,prepcv13
2000,F,21.779,20.371,23.755,TRUE,1-4y,Fitted,prepcv13
2000,F,5.425,5.043,5.997,TRUE,5-17y,Fitted,prepcv13
2000,F,96.773,89.888,107.105,TRUE,18+y,Fitted,prepcv13
2000,N,84.271,79.187,89.801,TRUE,<1y,Fitted,prepcv13
2000,N,25.546,23.83,27.442,TRUE,1-4y,Fitted,prepcv13
2000,N,44.73,41.415,48.37,TRUE,5-17y,Fitted,prepcv13
2000,N,973.987,900.878,1053.644,TRUE,18+y,Fitted,prepcv13
2000,V,549.036,506.203,587.217,TRUE,<1y,Fitted,prepcv13
2000,V,147.582,134.808,159.034,TRUE,1-4y,Fitted,prepcv13
2000,V,55.144,49.879,60.095,TRUE,5-17y,Fitted,prepcv13
2000,V,1365.867,1234.059,1489.957,TRUE,18+y,Fitted,prepcv13
2001,F,30.295,27.215,33.316,TRUE,<1y,Fitted,prepcv13
2001,F,18.737,16.971,20.518,TRUE,1-4y,Fitted,prepcv13
2001,F,5.012,4.529,5.503,TRUE,5-17y,Fitted,prepcv13
2001,F,88.642,79.552,97.736,TRUE,18+y,Fitted,prepcv13
2001,N,150.917,139.81,164.701,TRUE,<1y,Fitted,prepcv13
2001,N,37.142,34.66,39.744,TRUE,1-4y,Fitted,prepcv13
2001,N,49.95,46.303,53.862,TRUE,5-17y,Fitted,prepcv13
2001,N,1085.614,1005.28,1171.519,TRUE,18+y,Fitted,prepcv13
2001,V,211.703,193.142,224.433,TRUE,<1y,Fitted,prepcv13
2001,V,122.089,110.914,132.192,TRUE,1-4y,Fitted,prepcv13
2001,V,48.954,44.018,53.586,TRUE,5-17y,Fitted,prepcv13
2001,V,1197.155,1074.791,1310.851,TRUE,18+y,Fitted,prepcv13
2002,F,16.524,13.036,20.568,TRUE,<1y,Fitted,prepcv13
