yearc,stg,m,l,u,na.rm,agegp,cat,timex
1999,F,75.189,71.301,81.765,TRUE,<1y,Fitted,prepcv13
1999,F,21.658,20.411,23.793,TRUE,1-4y,Fitted,prepcv13
1999,F,5.403,5.058,6.003,TRUE,5-17y,Fitted,prepcv13
1999,F,96.386,90.175,107.217,TRUE,18+y,Fitted,prepcv13
1999,N,83.789,77.945,89.03,TRUE,<1y,Fitted,prepcv13
1999,N,25.382,23.42,27.178,TRUE,1-4y,Fitted,prepcv13
1999,N,44.329,40.536,47.831,TRUE,5-17y,Fitted,prepcv13
1999,N,964.923,881.39,1041.732,TRUE,18+y,Fitted,prepcv13
1999,V,551.617,515.638,584.289,TRUE,<1y,Fitted,prepcv13
1999,V,148.319,137.596,158.219,TRUE,1-4y,Fitted,prepcv13
1999,V,55.497,50.996,59.625,TRUE,5-17y,Fitted,prepcv13
1999,V,1374.214,1261.712,1477.854,TRUE,18+y,Fitted,prepcv13
2000,F,75.189,71.301,81.765,TRUE,<1y,Fitted,prepcv13
2000,F,21.658,20.411,23.793,TRUE,1-4y,Fitted,prepcv13
2000,F,5.403,5.058,6.003,TRUE,5-17y,Fitted,prepcv13
2000,F,96.386,90.175,107.217,TRUE,18+y,Fitted,prepcv13
2000,N,83.789,77.945,89.03,TRUE,<1y,Fitted,prepcv13
2000,N,25.382,23.42,27.178,TRUE,1-4y,Fitted,prepcv13
2000,N,44.329,40.536,47.831,TRUE,5-17y,Fitted,prepcv13
2000,N,964.923,881.39,1041.732,TRUE,18+y,Fitted,prepcv13
2000,V,551.617,515.638,584.289,TRUE,<1y,Fitted,prepcv13
2000,V,148.319,137.596,158.219,TRUE,1-4y,Fitted,prepcv13
2000,V,55.497,50.996,59.625,TRUE,5-17y,Fitted,prepcv13
2000,V,1374.214,1261.712,1477.854,TRUE,18+y,Fitted,prepcv13
2001,F,29.271,26.899,32.778,TRUE,<1y,Fitted,prepcv13
2001,F,18.251,16.865,20.373,TRUE,1-4y,Fitted,prepcv13
2001,F,4.891,4.483,5.507,TRUE,5-17y,Fitted,prepcv13
2001,F,86.182,78.755,97.714,TRUE,18+y,Fitted,prepcv13
2001,N,152.112,137.536,163.219,TRUE,<1y,Fitted,prepcv13
2001,N,37.025,34.503,39.432,TRUE,1-4y,Fitted,prepcv13
2001,N,49.808,45.939,53.456,TRUE,5-17y,Fitted,prepcv13
2001,N,1081.951,997.644,1163.105,TRUE,18+y,Fitted,prepcv13
2001,V,215.157,199.376,228.193,TRUE,<1y,Fitted,prepcv13
2001,V,124.714,112.827,133.214,TRUE,1-4y,Fitted,prepcv13
2001,V,50.119,44.701,53.77,TRUE,5-17y,Fitted,prepcv13
2001,V,1224.917,1088.772,1318.037,TRUE,18+y,Fitted,prepcv13
2002,F,15.373,12.119,19.441,TRUE,<1y,Fitted,prepcv13
2002,F,13.62,11.225,16.376,TRUE,1-4y,Fitted,prepcv13
2002,F,4.097,3.432,5.007,TRUE,5-17y,Fitted,prepcv13
2002,F,72.607,59.957,89.051,TRUE,18+y,Fitted,prepcv13
2002,N,187.108,166.434,200.124,TRUE,<1y,Fitted,prepcv13
2002,N,59.064,54.409,64.343,TRUE,1-4y,Fitted,prepcv13
2002,N,60.84,55.341,65.125,TRUE,5-17y,Fitted,prepcv13
2002,N,1289.637,1170.424,1378.954,TRUE,18+y,Fitted,prepcv13
2002,V,113.083,98.376,127.949,TRUE,<1y,Fitted,prepcv13
2002,V,92.603,79.634,102.69,TRUE,1-4y,Fitted,prepcv13
2002,V,42.068,35.587,47.068,TRUE,5-17y,Fitted,prepcv13
2002,V,1028.909,866.922,1159.9,TRUE,18+y,Fitted,prepcv13
2003,F,10.338,6.833,14.919,TRUE,<1y,Fitted,prepcv13
2003,F,9.993,7.051,13.352,TRUE,1-4y,Fitted,prepcv13
2003,F,3.38,2.475,4.6,TRUE,5-17y,Fitted,prepcv13
2003,F,60.073,43.729,83.007,TRUE,18+y,Fitted,prepcv13
2003,N,204.878,182.946,218.026,TRUE,<1y,Fitted,prepcv13
2003,N,80.146,73.564,88.907,TRUE,1-4y,Fitted,prepcv13
2003,N,70.925,64.545,77.109,TRUE,5-17y,Fitted,prepcv13
2003,N,1460.92,1317.959,1575.136,TRUE,18+y,Fitted,prepcv13
2003,V,75.668,60.909,92.355,TRUE,<1y,Fitted,prepcv13
2003,V,67.831,55.655,79.583,TRUE,1-4y,Fitted,prepcv13
2003,V,34.742,28.102,41.103,TRUE,5-17y,Fitted,prepcv13
2003,V,857.509,691.428,1022.858,TRUE,18+y,Fitted,prepcv13
2004,F,8.229,4.415,13.279,TRUE,<1y,Fitted,prepcv13
2004,F,7.602,4.409,11.436,TRUE,1-4y,Fitted,prepcv13
2004,F,2.873,1.745,4.273,TRUE,5-17y,Fitted,prepcv13
2004,F,51.96,31.429,78.515,TRUE,18+y,Fitted,prepcv13
2004,N,213.899,192.716,227.983,TRUE,<1y,Fitted,prepcv13
2004,N,97.893,86.833,109.699,TRUE,1-4y,Fitted,prepcv13
2004,N,81.556,74.206,89.432,TRUE,5-17y,Fitted,prepcv13
2004,N,1632.408,1475.167,1776.003,TRUE,18+y,Fitted,prepcv13
2004,V,59.824,44.054,77.19,TRUE,<1y,Fitted,prepcv13
2004,V,52.003,38.979,63.54,TRUE,1-4y,Fitted,prepcv13
2004,V,29.159,22.168,36.662,TRUE,5-17y,Fitted,prepcv13
2004,V,732.856,554.009,928.691,TRUE,18+y,Fitted,prepcv13
2005,F,7.14,3.067,12.633,TRUE,<1y,Fitted,prepcv13
2005,F,6.034,2.798,10.236,TRUE,1-4y,Fitted,prepcv13
2005,F,2.405,1.205,4.008,TRUE,5-17y,Fitted,prepcv13
2005,F,44.61,22.199,75.134,TRUE,18+y,Fitted,prepcv13
2005,N,220.033,199.229,234.358,TRUE,<1y,Fitted,prepcv13
2005,N,111.361,96.836,126.221,TRUE,1-4y,Fitted,prepcv13
2005,N,91.137,82.908,101.907,TRUE,5-17y,Fitted,prepcv13
2005,N,1818.12,1655.065,2011.489,TRUE,18+y,Fitted,prepcv13
2005,V,51.661,34.289,69.07,TRUE,<1y,Fitted,prepcv13
2005,V,40.216,27.911,53.267,TRUE,1-4y,Fitted,prepcv13
2005,V,25.071,17.16,32.903,TRUE,5-17y,Fitted,prepcv13
2005,V,641.512,438.577,857.326,TRUE,18+y,Fitted,prepcv13
2006,F,6.44,2.139,12.324,TRUE,<1y,Fitted,prepcv13
2006,F,5.013,1.751,9.427,TRUE,1-4y,Fitted,prepcv13
2006,F,2.077,0.812,3.785,TRUE,5-17y,Fitted,prepcv13
2006,F,39.148,15.381,72.568,TRUE,18+y,Fitted,prepcv13
2006,N,224.106,203.383,238.815,TRUE,<1y,Fitted,prepcv13
2006,N,122.53,103.905,138.8,TRUE,1-4y,Fitted,prepcv13
2006,N,101.295,89.333,114.239,TRUE,5-17y,Fitted,prepcv13
2006,N,2036.723,1812.591,2290.554,TRUE,18+y,Fitted,prepcv13
2006,V,45.339,27.159,63.789,TRUE,<1y,Fitted,prepcv13
2006,V,32.628,19.972,46.389,TRUE,1-4y,Fitted,prepcv13
2006,V,21.775,13.174,29.731,TRUE,5-17y,Fitted,prepcv13
2006,V,571.533,344.199,794.422,TRUE,18+y,Fitted,prepcv13
2007,F,5.839,1.457,12.147,TRUE,<1y,Fitted,prepcv13
2007,F,4.232,1.073,8.8,TRUE,1-4y,Fitted,prepcv13
2007,F,1.806,0.529,3.602,TRUE,5-17y,Fitted,prepcv13
2007,F,34.889,10.324,70.467,TRUE,18+y,Fitted,prepcv13
2007,N,227.282,207.151,242.133,TRUE,<1y,Fitted,prepcv13
2007,N,130.5,108.657,148.323,TRUE,1-4y,Fitted,prepcv13
2007,N,110.503,95.183,126.282,TRUE,5-17y,Fitted,prepcv13
2007,N,2289.443,1966.947,2620.853,TRUE,18+y,Fitted,prepcv13
2007,V,40.077,21.405,59.87,TRUE,<1y,Fitted,prepcv13
2007,V,27.377,14.482,40.733,TRUE,1-4y,Fitted,prepcv13
2007,V,18.675,10.075,27.063,TRUE,5-17y,Fitted,prepcv13
2007,V,511.765,269.429,741.965,TRUE,18+y,Fitted,prepcv13
2008,F,5.315,0.955,12.028,TRUE,<1y,Fitted,prepcv13
2008,F,3.611,0.643,8.36,TRUE,1-4y,Fitted,prepcv13
2008,F,1.612,0.332,3.498,TRUE,5-17y,Fitted,prepcv13
2008,F,31.122,6.673,68.788,TRUE,18+y,Fitted,prepcv13
2008,N,230.078,209.974,244.696,TRUE,<1y,Fitted,prepcv13
2008,N,137.366,111.982,155.515,TRUE,1-4y,Fitted,prepcv13
2008,N,119.673,100.214,137.683,TRUE,5-17y,Fitted,prepcv13
2008,N,2588.638,2128.619,2992.846,TRUE,18+y,Fitted,prepcv13
2008,V,36.074,16.683,56.916,TRUE,<1y,Fitted,prepcv13
2008,V,22.967,10.526,36.59,TRUE,1-4y,Fitted,prepcv13
2008,V,16.163,7.547,24.801,TRUE,5-17y,Fitted,prepcv13
2008,V,453.4,208.334,697.182,TRUE,18+y,Fitted,prepcv13
2009,F,4.87,0.597,11.937,TRUE,<1y,Fitted,prepcv13
2009,F,3.164,0.373,8.048,TRUE,1-4y,Fitted,prepcv13
2009,F,1.427,0.199,3.421,TRUE,5-17y,Fitted,prepcv13
2009,F,28.628,4.123,67.387,TRUE,18+y,Fitted,prepcv13
2009,N,232.231,211.725,246.715,TRUE,<1y,Fitted,prepcv13
2009,N,142.518,114.307,160.921,TRUE,1-4y,Fitted,prepcv13
