year,age,serotype,prev,prevlo,prevhi
2010,<1y,V,0.0756209322191841,0.0735420222680798,0.0795507994508565
2011,<1y,V,0.0576809185315333,0.0561715997200207,0.0606826582513873
2012,<1y,V,0.0458897208443005,0.0446719818885398,0.0482724258726042
2013,<1y,V,0.0381250376071227,0.0371299237770217,0.0401341128837624
2014,<1y,V,0.0327912481440029,0.0318862605119154,0.0345516951880374
2015,<1y,V,0.0289426154690169,0.0281217797919138,0.0305335545841781
2016,<1y,V,0.0261187314596225,0.0253014043075388,0.0275650056359795
2017,<1y,V,0.0239630821086324,0.0231546018643246,0.0253379949424249
2018,<1y,V,0.0222918610655599,0.0214619908595307,0.0236020808548489
2019,<1y,V,0.0209616109369972,0.0200681006124505,0.0222815335812605
2010,1-4y,V,0.139423724103853,0.136336719156814,0.14291839584498
2011,1-4y,V,0.111111117065092,0.108801796008648,0.113928175381013
2012,1-4y,V,0.0904516556030241,0.0888029479704039,0.092658220635914
2013,1-4y,V,0.0763331596772274,0.0748966638621869,0.0781209616630439
2014,1-4y,V,0.0664206996891449,0.0651717613015909,0.0678643490944231
2015,1-4y,V,0.0591698579817456,0.0579807061892209,0.0605396937082296
2016,1-4y,V,0.0537555600761505,0.0525528143020438,0.0550754198498497
2017,1-4y,V,0.0495922609757169,0.0483230072446714,0.050978869596075
2018,1-4y,V,0.0463121483419976,0.0449095367313168,0.0478049422010735
2019,1-4y,V,0.0436750142288905,0.0420319844605257,0.0453054744258189
2010,5-17y,V,0.109375117483405,0.106853928156969,0.113064800565622
2011,5-17y,V,0.0890344572609723,0.0867914252469878,0.0924698231533917
2012,5-17y,V,0.0729470113338774,0.0709356588176227,0.0760291332861356
2013,5-17y,V,0.0614572011619147,0.0597083349401446,0.0641683815993422
2014,5-17y,V,0.0532125288670536,0.0517703894596601,0.0556511540641076
2015,5-17y,V,0.0471804929147503,0.0458717227380627,0.0492013360107425
2016,5-17y,V,0.0426446801817755,0.0414024004158367,0.0443846671148105
2017,5-17y,V,0.0391907739885129,0.037953761544158,0.0408182196728969
2018,5-17y,V,0.0364892123051249,0.035134965822073,0.0381043726435042
2019,5-17y,V,0.0343261328352991,0.0328988946760817,0.0359030616250855
2010,18+y,V,0.0431481104263989,0.0417382799480202,0.0454962987998073
2011,18+y,V,0.0350831670077622,0.0338421406758061,0.0371376577676965
2012,18+y,V,0.0286830199282944,0.0276308369942935,0.0304207439042524
2013,18+y,V,0.0241478787787523,0.0232524421908717,0.0256467923457539
2014,18+y,V,0.0209019988018996,0.0201051229604762,0.0222380728028731
2015,18+y,V,0.0185365540635469,0.0178121394778146,0.019717287591725
2016,18+y,V,0.0167674244761354,0.0160671687752875,0.0177856914512098
2017,18+y,V,0.0154124794356392,0.0147375001471595,0.0163592771086216
2018,18+y,V,0.0143535817979053,0.0136588893193161,0.0152171016394473
2019,18+y,V,0.0134983396550808,0.012773189362902,0.0143774634436283
2010,<1y,F,0.390498519773286,0.386963418511028,0.390944508180005
2011,<1y,F,0.503582402636944,0.501025944048256,0.502283574091102
2012,<1y,F,0.553909280503122,0.551854266856176,0.552612607666532
2013,<1y,F,0.580180898749208,0.578245101504476,0.579018144716974
2014,<1y,F,0.595997915356245,0.594300408957857,0.594894239062257
2015,<1y,F,0.606119765738289,0.604494509843001,0.605072331906851
2016,<1y,F,0.613094465851313,0.611544250546535,0.612022847585933
2017,<1y,F,0.617989987120594,0.616504405326398,0.616928777819285
2018,<1y,F,0.621503439747801,0.620051692726923,0.62049255578821
2019,<1y,F,0.624104900361236,0.622677400623038,0.623071332575315
2010,1-4y,F,0.20385351407152,0.199923670648628,0.205841201600326
2011,1-4y,F,0.297682379524344,0.294572017796358,0.29848820222392
2012,1-4y,F,0.363835152473817,0.361059102615392,0.364061643140209
